index,code,year,period,id,Country,population,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling,polution
19,EEA_3161-01-1,2009,2009-01--2009-12,FRDR179,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6931471805599453
20,EEA_3161-05-5,2009,2009-01--2009-12,FRDR179,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.2184951642837874
27,EEA_3161-01-1,2009,2009-01--2009-12,FRDR174,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6931471805599453
28,EEA_3161-05-5,2009,2009-01--2009-12,FRDR174,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8894045150923786
49,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0178A,France,122.299437237519,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5108258237659706
52,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0178A,France,122.299437237519,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.2748794433909594
90,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0178A,France,122.299437237519,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.2960276914095883
99,EEA_3161-02-2,2007,2007-01--2007-12,UKSC005287,United Kingdom,274.70898193692403,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.3849902549187788
105,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010758,United Kingdom,274.70898193692403,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.482611317284818
116,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0543,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8557166087826382
117,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0543,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.902756569454242
135,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0543,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.5009235397045226
136,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0543,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.47145089394918
139,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0543,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6850903109770456
179,EEA_3161-01-1,2009,2009-01--2009-12,FRHR232B,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.2047215239654203
180,EEA_3161-05-5,2009,2009-01--2009-12,FRHR232B,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,2.2647710699880945
183,EEA_3161-05-5,2009,2009-01--2009-12,FRHR233,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.915257992176508
210,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0418,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.70967484316555
213,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0418,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.2556866340219424
221,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0248,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5319356313621034
